AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190704_150000.WAV,GRABADOR-SDZG-AM-1,20190704_150000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,04.07.2019 15:00,60.00046875,,Recorded at 15:00:00 04/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:34:37-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190621_162000.WAV,GRABADOR-SDZG-AM-1,20190621_162000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21.06.2019 16:20,60.00046875,,Recorded at 16:20:00 21/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:35:57-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190624_175000.WAV,GRABADOR-SDZG-AM-1,20190624_175000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 17:50,60.00046875,,Recorded at 17:50:00 24/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:49:48-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190705_182000.WAV,GRABADOR-SDZG-AM-1,20190705_182000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,05.07.2019 18:20,60.00046875,,Recorded at 18:20:00 05/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:38:11-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_193000.WAV,GRABADOR-SDZG-AM-1,20190616_193000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,16.06.2019 19:30,60.00046875,,Recorded at 19:30:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.7V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:14:01-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190629_201000.WAV,GRABADOR-SDZG-AM-1,20190629_201000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,29.06.2019 20:10,60.00046875,,Recorded at 20:10:00 29/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:12:53-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_213000.WAV,GRABADOR-SDZG-AM-1,20190625_213000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 21:30,60.00046875,,Recorded at 21:30:00 25/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:55:03-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190624_223000.WAV,GRABADOR-SDZG-AM-1,20190624_223000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 22:30,60.00046875,,Recorded at 22:30:00 24/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:50:42-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190626_232000.WAV,GRABADOR-SDZG-AM-1,20190626_232000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,26.06.2019 23:20,60.00046875,,Recorded at 23:20:00 26/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:59:55-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190621_005000.WAV,GRABADOR-SDZG-AM-1,20190621_005000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21.06.2019 00:50,60.00046875,,Recorded at 00:50:00 21/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:33:03-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190703_013000.WAV,GRABADOR-SDZG-AM-1,20190703_013000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,03.07.2019 01:30,60.00046875,,Recorded at 01:30:00 03/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:27:31-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190628_021000.WAV,GRABADOR-SDZG-AM-1,20190628_021000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,28.06.2019 02:10,60.00046875,,Recorded at 02:10:00 28/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:04:58-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190620_033000.WAV,GRABADOR-SDZG-AM-1,20190620_033000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 03:30,60.00046875,,Recorded at 03:30:00 20/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:29:03-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190623_042000.WAV,GRABADOR-SDZG-AM-1,20190623_042000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,23.06.2019 04:20,60.00046875,,Recorded at 04:20:00 23/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:42:43-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190622_052000.WAV,GRABADOR-SDZG-AM-1,20190622_052000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22.06.2019 05:20,60.00046875,,Recorded at 05:20:00 22/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:38:24-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190617_060000.WAV,GRABADOR-SDZG-AM-1,20190617_060000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,17.06.2019 06:00,60.00046875,,Recorded at 06:00:00 17/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.5V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:15:58-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_071000.WAV,GRABADOR-SDZG-AM-1,20190625_071000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 07:10,60.00046875,,Recorded at 07:10:00 25/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:52:20-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190703_080000.WAV,GRABADOR-SDZG-AM-1,20190703_080000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,03.07.2019 08:00,60.00046875,,Recorded at 08:00:00 03/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:28:44-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190626_094000.WAV,GRABADOR-SDZG-AM-1,20190626_094000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,26.06.2019 09:40,60.00046875,,Recorded at 09:40:00 26/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:57:20-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190620_103000.WAV,GRABADOR-SDZG-AM-1,20190620_103000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 10:30,60.00046875,,Recorded at 10:30:00 20/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:30:22-08:00,WAV,WAV,audio/x-wav
